                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.81266,                0.44454,                0.97328,                0.90525,                0.95076,                0.96218,                0.65084,                 1.0669,                 0.4974,                 1.0879,             0.00029723,             0.00029723,             0.00029723
                     50,                0.79559,                0.43825,                0.96583,                0.90559,                0.94476,                0.96153,                0.65064,                 1.0693,                0.49526,                 1.0884,             0.00027365,             0.00027365,             0.00027365
                     51,                0.78672,                0.41692,                 0.9681,                0.90826,                0.94305,                0.95669,                0.63651,                  1.083,                 0.5005,                 1.0981,             0.00025007,             0.00025007,             0.00025007
                     52,                0.77711,                 0.4079,                0.95972,                0.91268,                0.93975,                0.95917,                0.64572,                 1.0759,                0.49938,                 1.0922,              0.0002265,              0.0002265,              0.0002265
                     53,                0.77099,                 0.4051,                0.95567,                0.90885,                0.94252,                0.96048,                0.64651,                 1.0752,                0.50266,                  1.091,             0.00020292,             0.00020292,             0.00020292
                     54,                0.76305,                0.40145,                0.95088,                0.90336,                0.94724,                0.96021,                0.63987,                 1.0771,                0.50221,                 1.0984,             0.00017934,             0.00017934,             0.00017934
                     55,                0.76151,                 0.3986,                0.95202,                0.90842,                0.94597,                  0.962,                0.64576,                 1.0748,                0.49269,                 1.0974,             0.00015576,             0.00015576,             0.00015576
                     56,                0.75752,                0.39503,                0.95206,                0.90631,                0.94116,                0.96179,                0.63562,                 1.0856,                0.50402,                 1.1094,             0.00013218,             0.00013218,             0.00013218
                     57,                0.75352,                0.39167,                0.95082,                0.90442,                0.94901,                0.96448,                0.65012,                 1.0661,                0.48995,                 1.0888,              0.0001086,              0.0001086,              0.0001086
                     58,                0.74723,                0.38833,                0.94441,                0.89871,                0.95166,                0.96198,                0.64652,                 1.0742,                0.49868,                 1.0973,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     59,                0.74806,                0.38754,                0.95164,                0.90615,                 0.9425,                0.96254,                0.64421,                 1.0753,                0.49779,                 1.0988,             6.1447e-05,             6.1447e-05,             6.1447e-05
                     60,                0.74285,                0.38424,                 0.9442,                0.90621,                0.95122,                0.96367,                0.65031,                 1.0688,                0.49298,                 1.0915,             3.7869e-05,             3.7869e-05,             3.7869e-05
